id,name,category,subcat,price
145,Digital Wireless Meat Thermometer,Kitchen,Cooking Tools & Utensils,43.99
146,Nutty Granola Clusters,Food - Cereal,Granola,2.74
147,Inflatable Pool Float,Outdoor,Outdoor Recreation,32.99
148,Roasted Garlic Pasta Sauce,Food - Sauces,Pasta Sauces,5.49
149,Mini Indoor Hydroponic Garden,Garden,Indoor Gardening Supplies,65.99
150,Kitchen Knife Sharpening System,Kitchen,Kitchen Gadgets,43.99
151,Classic Caesar Salad Kit,Food - Salads,Salad Kits,5.49
152,Apple Cinnamon Granola,Food - Breakfast,Granola & Muesli,4.94
153,Coffee Subscription Service,Food,Beverages,32.99
154,Classic Caesar Salad Kit,Food - Salads,Salad Kits,5.49
155,Bike Helmet,Bicycles,Accessories,38.49
156,Home Karaoke System,Audio,Karaoke Equipment,142.99
157,Pet Travel Bowl,Pets,Pet Accessories,12.09
158,Adjustable Laptop Stand,Office,Laptop Accessories,32.99
159,Nature Explorer Lens Kit,Toys,Outdoor Play Toys,21.99
160,Home Brewing Starter Kit,Food,Beverages,87.99
161,Portable Hammock with Stand,Outdoor,Camping Equipment,76.99
162,Wireless Smart Plug,Smart Home,Home Accessories,21.99
163,Electric Wine Opener,Kitchen,Barware,32.99
164,Insulated Lunch Bag,Kitchen,Food Storage Solutions,27.49
165,Home Delivery Food Journal,Health,Nutrition & Fitness,16.49
166,Pet Food Storage Container,Pets,Pet Accessories,27.49
167,Mechanical Pencil Set,Office,Writing Instruments,21.99
168,Bamboo Toothbrush,Health,Oral Care & Hygiene,6.59
169,Blueberry Chia Jam,Food - Spreads,Fruit Spreads,5.49
170,Coconut Chia Pudding,Food - Dairy,Dairy Alternatives,3.84
171,Applewood Smoked Bacon,Food - Meat,Pork,7.69
172,Bicycle Repair Kit,Outdoor,Cycling Accessories,16.49
173,Lemon Herb Grilled Chicken,Food - Meat,Marinated Poultry,10.99
174,Baked Potato Chips,Food - Snacks,Healthy Snacks,2.74
175,Ceramic Cookware Set,Kitchen,Cookware,197.99
176,Cinnamon Roll Kit,Food - Baking,Baking Kits,7.58
177,Cat Tree with Scratching Posts,Pets,Cat Furniture,87.99
178,Dried Mango Slices,Food - Snacks,Dried Fruits,3.84
179,Outdoor Mosquito Repellent Lantern,Outdoor,Garden Supplies,38.49
180,Wall-Mounted Wine Rack,Home,Wine Storage Solutions,43.99
181,Fitness Tracker Watch,Wearable Tech,Smartwatches,87.99
182,Cotton Pajama Set,Clothing - Loungewear,Sleepwear,54.99
183,Foam Building Blocks for Kids,Toys,Building Toys,25.29
184,Travel Mug,Kitchen,Drinkware,20.89
185,Dried Apricots,Food - Dried Fruits,Snacks,4.17
186,Granulated Sugar,Food - Baking,Baking Ingredients,2.74
187,Frozen Edamame,Food - Frozen Foods,Frozen Snacks,3.62
188,Savory Oatmeal Cups,Food - Breakfast,Savory Breakfast Options,2.19
189,Fashionable Belt Bag,Accessories,Bags,38.49
190,Educational STEM Kit,Toys,STEM Learning Toys,39.59
191,Smart Home Hub,Smart Home,Home Automation,109.99
192,Nutty Granola Clusters,Food - Cereal,Granola,2.74
193,Two-Tone Windbreaker,Clothing - Outerwear,Jackets,65.99
194,Wall Art Stickers,Home,Decorative Wall Art & Accessories,21.99
195,Lemon Herb Grilled Chicken,Food - Meat,Marinated Poultry,10.99
196,Frozen Burritos,Food - Frozen Foods,Frozen Entrees,9.89
197,Portable Hammock with Stand,Outdoor,Camping Equipment,76.99
198,Smartphone Tripod,Photography,Tripods & Accessories,32.99
199,Vintage Graphic Tee,Clothing - Tops,Graphic Tees,28.59
200,Reusable Silicone Food Storage Bags,Kitchen,Food Storage Solutions,21.99
201,Kids' Gardening Tools Set,Toys,Outdoor Play Toys,25.29
202,Cheddar Cheese Crackers,Food - Snacks,Savory Snacks,2.52
203,Cinnamon Rolls,Food - Bakery,Pastries,4.94
204,Cinnamon Roll Kit,Food - Baking,Baking Kits,7.58
205,Pepper Jack Cheese Slices,Food - Dairy,Cheese,3.84
206,Miso Soup Starter,Food - Soups,Specialty Soups,3.29
207,Fitness Tracker with Heart Rate Monitor,Fitness,Wearable Technology,65.99
208,Cheesy Broccoli Soup Mix,Food - Soups,Creamy Soups,3.29
209,Wrap Jumpsuit,Clothing - Jumpsuits,Jumpsuits,60.49
210,Smartphone Gimbal,Electronics,Camera Accessories,98.99
211,Multi-Purpose Plant Care Tool,Garden,Garden Tools,27.49
212,Mini Air Purifier,Health,Health Devices,54.99
213,Baked Falafel,Food - Vegetarian,Snacks,6.04
214,Streaming Device,Electronics,Home Entertainment Equipment,54.99
215,Almond Joy Munch Bars,Food - Snacks,Healthy Snacks,1.53
216,Collapsible Folding Chair,Outdoor,Camping Equipment,32.99
217,Home Office Chair,Furniture,Office Furniture,219.99
218,Handheld Garment Steamer,Home,Home Appliances,38.49
219,Roasted Garlic Butter,Food - Condiments,Flavored Butters,3.62
220,Lentil Soup,Food - Canned Goods,Soups & Broths,2.74
221,Apple Pie Filling,Food - Canned Goods,Canned Fruits,3.84
222,Thai Basil Fried Rice,Food - Frozen,Frozen Meals,6.59
223,Tomato Basil Soup,Food - Canned Goods,Soups & Broths,3.84
224,Savory Rice Cakes,Food - Snacks,Savory Snacks,2.75
225,Portable Electric Fan,Home,Home Appliances,27.49
226,Frozen Fruit Medley,Food - Frozen Foods,Frozen Fruits,6.59
227,Banana Peanut Butter Smoothie,Food - Frozen Foods,Frozen Smoothies,6.04
228,Ultraviolet Phone Sanitizer,Health,Health Devices,43.99
229,Coconut Chia Seed Pudding,Food - Snacks,Healthy Snacks,3.29
230,Fitness Foam Roller,Fitness,Recovery Tools,32.99
231,Pasta Portion Control Measure,Kitchen,Cooking Tools & Utensils,10.99
232,Sour Cream,Food - Dairy,Dairy Spreads,3.84
233,Pet Tracking Collar,Pets,Pet Accessories,65.99
234,Herbed Couscous,Food - Grains,Seasoned Grains,2.74
235,Running Shorts,Clothing - Activewear,Running Shorts,38.49
236,Satin Slip Dress,Clothing - Dresses,Evening Wear,65.99
237,Coconut Cashew Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,2.19
238,Grilled Vegetable Medley,Food - Vegetables,Vegetable Dishes,4.94
239,Puffer Winter Coat,Clothing - Outerwear,Coats,109.99
240,Coconut Cream,Food - Baking & Cooking,Baking Ingredients,3.29
241,Garden Vegetable Chips,Food - Snacks,Vegetable Snacks,3.84
242,Radish Chips,Food - Snacks,Savory Snacks,3.18
243,Adjustable Kitchen Broom Stand,Home,Kitchen Accessories,16.49
244,Ceramic Bakeware Set,Kitchen,Cookware,54.99
245,Electric Rice Cooker,Kitchen,Cooking Appliances,43.99
246,Set of Measuring Spoons,Kitchen,Kitchen Gadgets,14.29
247,Camping Lantern,Outdoor,Camping Equipment,38.49
248,Almond Joy Munch Bars,Food - Snacks,Healthy Snacks,1.53
249,Water Bottle with Built-in Fruit Infuser,Fitness,Fitness Accessories,20.89
250,Raspberry Lemonade Mix,Food - Beverages,Drink Mixes,4.39
251,Rechargeable Battery Organizer,Home,Home Organization,19.79
252,Tennis Racket,Fitness,Racquet Sports Equipment,98.99
253,Sweet and Sour Sauce,Food - Condiments,Sauces,3.07
254,Thermostatic Shower Valve Kit,Bathroom,Shower Fixtures,43.99
255,Mini Cordless Vacuum Cleaner,Home Appliances,Floor Care Appliances,50.59
256,Pomegranate Juice,Food - Beverages,Juice,4.94
257,Sweet Potato Mash,Food - Frozen Foods,Frozen Vegetables,4.39
258,Silicone Baking Cups,Kitchen,Baking Accessories,12.09
259,Travel Hair Straightener,Beauty,Hair Care Tools,32.99
260,Camping Chair with Cooler,Outdoor,Camping Equipment,54.99
261,Mango Sticky Rice Dessert,Food - Frozen Desserts,Asian Desserts,4.95
262,Wireless Game Controller,Gaming,Gaming Accessories,43.99
263,Leather Wallet,Accessories,Wallets,54.99
264,Mini Indoor Hydroponic Garden,Garden,Indoor Gardening Supplies,65.99
265,Sweet Chili Dipping Sauce,Food - Condiments,Dips,3.29
266,Smart Water Bottle,Fitness,Hydration Gear,43.99
267,Sun-Dried Tomatoes,Food - Vegetables,Vegetables,4.39
268,Outdoor Adventure Kit,Outdoor,Camping Equipment,98.99
269,Fitness Tracker Band,Fitness,Wearable Technology,32.99
270,Frozen Berry Blend,Food - Frozen Foods,Frozen Fruits,5.49
271,Classic Beef Chili,Food - Canned Goods,Soups & Broths,8.79
272,Flavored Popcorn Mix,Food - Snacks,Gourmet Snacks,3.29
273,Oven-Baked Chicken Tenders,Food - Meat,Poultry,7.69
274,Coconut Curry Sauce,Food - Sauces,Ethnic Sauces,4.28
275,Desk Lamp with USB Port,Office,Lighting,32.99
276,Gardening Gloves,Garden,Garden Tools,17.59
277,Crispy Chickpeas,Food - Snacks,Healthy Snacks,3.29
278,Electric Knife,Kitchen,Small Appliances,43.99
279,Noise-Canceling Headphones,Audio,Headphones,131.99
280,Electric Toothbrush Holder,Health,Oral Care & Hygiene,16.49
281,Fitness Balance Ball,Fitness,Fitness Equipment,27.49
282,Creamy Coleslaw Mix,Food - Produce,Condiments,2.63
283,Peach Mango Smoothie,Food - Beverages,Smoothies,3.84
284,Cold Brew Coffee Maker,Kitchen,Coffee Equipment,38.49
285,Wireless Charging Pad,Accessories,Mobile Accessories,21.99
286,Chipotle Black Bean Salad,Food - Salads,Bean Salads,3.62
287,Ginger Snaps,Food - Confectionery,Cookies & Biscuits,3.07
288,Chipotle Lime Salsa,Food - Condiments,Salsas,4.39
289,Travel Jewelry Organizer,Accessories,Jewelry Storage,21.99
290,Cinnamon Roll Dough,Food - Bakery,Frozen Baked Goods,4.94
291,Egg Noodles,Food - Grains,Pasta,2.52
292,Sweet and Sour Sauce,Food - Condiments,Sauces,3.07
293,Dog Training Collar,Pets,Training Supplies,43.99
294,Zucchini Noodles,Food - Vegetables,Pasta Alternatives,4.39
295,Juice Extractor,Kitchen,Blenders & Juicers,109.99
296,Smart Home Security Camera,Smart Home,Home Security,87.99
297,Frozen Spinach,Food - Frozen Foods,Frozen Vegetables,2.19
298,Pet Bed,Pets,Pet Accessories,43.99
299,Brussels Sprouts,Food - Produce,Vegetables,3.84
300,Protein Powder,Fitness,Nutritional Supplements,49.49
301,Chocolate Syrup,Food - Condiments,Syrups,3.29
302,Hiking Gaiters,Outdoor,Hiking Accessories,32.99
303,Artisan Cornbread Mix,Food - Baking,Mixes,2.74
304,Sweet Potato Mash,Food - Frozen Foods,Frozen Vegetables,4.39
305,Garlic and Herb Cream Cheese,Food - Dairy,Cheese Spreads,3.84
306,Car Diagnostic Scanner,Automotive,Automotive Tools,54.99
307,Bluetooth Car Adapter,Automotive,Automotive Accessories,27.49
308,Applewood Smoked Bacon,Food - Meat,Pork,7.69
309,LED Flashlight,Outdoor,Camping Equipment,21.99
310,Motorcycle Phone Mount,Automotive,Motorcycle Accessories,16.49
311,Coconut Cream Pie Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,2.19
312,Blender Bottle,Fitness,Hydration Gear,14.29
313,Sliced Ham,Food - Meat,Processed Meats,6.04
314,Ceramic Cookware Set,Kitchen,Cookware,197.99
315,Infrared Space Heater,Home Appliances,Heating Appliances,109.99
316,Creamy Spinach Dip,Food - Prepared Foods,Dips and Spreads,6.59
317,Peach & Mango Salsa,Food - Snacks,Salsas and Dips,4.94
318,Watercolor Paint Set,Art Supplies,Painting Supplies,21.99
319,Peanut Butter,Food - Condiments,Nut Butters,4.17
320,Solar Power Bank,Electronics,Portable Power Solutions,43.99
321,Sesame Ginger Dressing,Food - Condiments,Dressing,4.50
322,Frozen Berry Medley,Food - Frozen Foods,Frozen Fruits,6.04
323,Video Camera,Electronics,Cameras & Photography,218.90
324,Tandoori Chicken Skewers,Food - Meat,Marinated Meats,8.79
325,Coconut Milk Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,3.29
326,Sporty Slide Sandals,Clothing - Footwear,Casual Footwear,27.49
327,Wall Art Stickers,Home,Decorative Wall Art & Accessories,21.99
328,Pet Camera with Treat Dispenser,Pets,Pet Technology,164.99
329,High-Speed HDMI Cable,Electronics,Cables & Accessories,14.29
330,Spicy Hummus,Food - Deli,Dips/Spreads,3.84
331,Portable Hand Warmer,Accessories,Tech Accessories,27.49
332,Warm Wool Sweater,Clothing - Tops,Sweaters,65.99
333,Honey Garlic Sauce,Food - Sauces,Condiments,2.85
334,Sunglasses,Accessories,Eyewear,32.99
335,Feta Cheese,Food - Dairy,Cheese,5.49
336,Whole Grain Mustard,Food - Condiments,Mustards,3.84
337,Wireless Wi-Fi Extender,Electronics,Networking Equipment,54.99
338,Smartphone Projector Kit,Electronics,Home Entertainment Equipment,27.49
339,Chilli Lime Corn on the Cob,Food - Vegetable,Vegetable Snacks,2.19
340,Caribbean Jerk Marinade,Food - Marinades,Marinades,4.17
341,Knitted Infinity Scarf,Clothing - Accessories,Scarves,32.99
342,Pet Leash,Pets,Pet Accessories,17.59
343,Smartphone Camera Lens Kit,Photography,Camera Accessories,21.99
344,Whole Wheat Bread,Food - Bakery,Breads,2.74
345,Kettle Chip Variety Pack,Food - Snacks,Chips and Crisps,4.39
346,Fitness Jump Rope,Fitness,Cardio Equipment,17.59
347,Maxi Wrap Dress,Clothing - Dresses,Casual Dresses,54.99
348,Basil Lemonade,Food - Beverages,Herbal Beverages,3.29
349,Travel Orthopedic Pillow,Travel,Travel Accessories,27.49
350,Fitness Activity Journal,Fitness,Health & Wellness Tools,16.49
351,Pet Hair Removal Brush,Pets,Grooming Supplies,16.49
352,Traditional Hummus,Food - Dips,Mediterranean Dips,3.62
353,Elegant Maxi Skirt,Clothing - Bottoms,,49.49
354,Pasta Maker,Kitchen,Small Appliances,42.90
355,Pet Safety Harness,Pets,Pet Safety Gear,27.49
356,Zucchini Noodles,Food - Vegetables,Pasta Alternatives,4.39
357,Electric Food Steamer,Kitchen,Small Appliances,65.99
358,Coloring Books for Adults,Books,Arts & Crafts,16.49
359,Hydration Backpack,Outdoor,Outdoor Accessories,43.99
360,Over-The-Door Shoe Organizer,Home,Home Organization,28.59
361,Maple Bacon Popcorn,Food - Snacks,Savory Snacks,3.84
362,Hibiscus Tea Bags,Food - Beverages,Herbal Tea,4.17
363,Electric Knife,Kitchen,Small Appliances,43.99
364,Wrist Support Brace,Health,Injury Prevention & Recovery,21.99
365,Creamy Garlic Dressing,Food - Condiments,Dressing,4.39
366,Magnetic Spice Containers,Kitchen,Kitchen Storage & Organization,27.49
367,Mini Air Purifier,Health,Health Devices,54.99
368,Multi-Purpose Marine Rope,Outdoor,Outdoor Recreation,21.99
369,Lentil Vegetable Curry,Food - Prepared Meals,Vegetarian Meals,4.94
370,Handheld Garment Steamer,Home,Home Appliances,38.49
371,Nature Explorer Lens Kit,Toys,Outdoor Play Toys,21.99
372,Wooden Blocks,Toys,Building Toys,27.49
373,Pineapple Chunks (canned),Food - Fruits,Canned Fruits,2.52
374,Vegetable Spiralizer,Kitchen,Food Preparation Tools,21.99
375,First Aid Kit,Health,Emergency Preparedness & First Aid,32.99
376,Puffer Winter Coat,Clothing - Outerwear,Coats,109.99
377,Portable Air Pump,Outdoor,Camping Equipment,21.99
378,Garden Tool Set,Garden,Garden Tools,38.49
379,Savory Snack Mix,Food - Snacks,Savory Snacks,4.94
380,Smart Light Bulbs,Smart Home,Smart Lighting,38.49
381,LED Camping Lantern with USB Charging,Outdoor,Camping Equipment,38.49
382,Spinach Feta Wraps,Food - Deli,Wraps/Rolls,4.72
383,V-Neck Sweater,Clothing - Tops,Sweaters,54.99
384,Ultra-Thin Laptop Sleeve,Accessories,Laptop Accessories,21.99
385,Vegetable Lasagna,Food - Frozen Foods,Frozen Meals,7.69
386,Chicken Broth,Food - Canned Goods,Soups & Broths,2.74
387,Craft Beer Mustard,Food - Condiments,Mustards,4.39
388,Frozen Acai Bowl,Food - Frozen Foods,Frozen Smoothies,7.14
389,V-Neck Sweater,Clothing - Tops,Sweaters,54.99
390,Coconut Milk,Food - Canned Goods,Coconut Products,2.74
391,LED Table Lamp,Home,Lighting & Lamps,32.99
392,High-Speed Hand Blender,Kitchen,Blenders & Juicers,43.99
393,Non-Toxic Crayons for Kids,Toys,Art Supplies,12.09
394,Reusable Produce Bags Set,Kitchen,Eco-Friendly Kitchen Products,16.49
395,Wireless Earbuds,Audio,Earbuds,76.99
396,Organic Honeycrisp Apples,Food - Fruits,Apples,2.19
397,Kale & Quinoa Salad Mix,Food - Salads,Ready-to-Eat Salads,4.94
398,Dried Fruit Medley,Food - Snacks,Sweet Snacks,6.04
399,Cinnamon Apple Sauce,Food - Canned Goods,Sauces & Condiments,2.74
400,Spice Rack,Kitchen,Kitchen Storage & Organization,43.99
401,Multifunctional Baby Bottle Warmer,Baby,Feeding Accessories,43.99
402,Puzzle Game Set,Toys,Board Games,38.49
403,Frozen Hash Browns,Food - Frozen Foods,Frozen Potato Products,3.29
404,High-Top Leather Boots,Clothing - Footwear,Boots,109.99
405,Mini Meatballs,Food - Frozen Meals,Frozen Appetizers,6.59
406,Compressed Towel Tablets,Travel,Travel Accessories,14.29
407,Wooden Children's Play Kitchen,Toys,Pretend Play Toys,142.99
408,Hummus,Food - Snacks,Dips and Spreads,4.72
409,Chocolate Covered Pretzels,Food - Snacks,Savory Snacks,3.62
410,Reusable Snack Bags,Kitchen,Food Storage Solutions,16.49
411,Foldable Picnic Table,Outdoor,Outdoor Furniture,54.99
412,Peach Mango Smoothie Mix,Food - Beverages,Smoothies,6.59
413,Multi-Function Meat Tenderizer,Kitchen,Kitchen Gadgets,21.99
414,Savory Oats,Food - Breakfast,Savory Breakfast Options,2.74
415,Ceramic Knife Set,Kitchen,Cutlery,43.99
416,Wall-Mounted Spice Rack,Kitchen,Kitchen Storage & Organization,43.99
417,Instant Mashed Potatoes,Food - Sides,Potatoes,1.97
418,Magnetic Screen Door,Outdoor,Outdoor Accessories,27.49
419,Sweet Chili Sauce,Food - Condiments,Sauces,3.29
420,Peas (frozen),Food - Frozen Foods,Frozen Vegetables,2.08
421,Pet Grooming Kit,Pets,Grooming Supplies,43.99
422,Window Blinds,Home,Home Decor,65.99
423,Vegan Tacos,Food - Frozen Foods,Frozen Vegan Meals,8.24
424,Pet Grooming Brush,Pets,Grooming Supplies,21.99
425,Sketchbook,Art Supplies,Drawing Supplies,16.49
426,Crispy Potato Tots,Food - Frozen Foods,Frozen Snacks,4.06
427,Cat Tree with Scratching Posts,Pets,Cat Furniture,87.99
428,Portable Massage Table,Health,Massage Therapy,219.99
429,High-Waisted Skirt,Clothing - Bottoms,Bottoms,38.49
